event_id,timestamp,gas,Q_m3s,V_m3,duct_length_m,duct_diameter_m,aux_fans,temp_C,humidity_pct,C0_ppm,t_min,Ct_ppm
0,2025-01-01T08:00:00,NOx,59.39887149322165,10416.296703007483,322.89457220493284,0.37713941964832687,2,33.222794039807056,72.16385831661722,137.36636083341486,5.0,44.60412867448089
0,2025-01-01T08:00:00,NOx,59.39887149322165,10416.296703007483,322.89457220493284,0.37713941964832687,2,33.222794039807056,72.16385831661722,137.36636083341486,13.846153846153847,5.364711650355216
0,2025-01-01T08:00:00,NOx,59.39887149322165,10416.296703007483,322.89457220493284,0.37713941964832687,2,33.222794039807056,72.16385831661722,137.36636083341486,22.692307692307693,0.6153194999538169
0,2025-01-01T08:00:00,NOx,59.39887149322165,10416.296703007483,322.89457220493284,0.37713941964832687,2,33.222794039807056,72.16385831661722,137.36636083341486,31.53846153846154,0.08087094954667085
0,2025-01-01T08:00:00,NOx,59.39887149322165,10416.296703007483,322.89457220493284,0.37713941964832687,2,33.222794039807056,72.16385831661722,137.36636083341486,40.38461538461539,0.05
0,2025-01-01T08:00:00,NOx,59.39887149322165,10416.296703007483,322.89457220493284,0.37713941964832687,2,,72.16385831661722,137.36636083341486,49.23076923076923,0.05
0,2025-01-01T08:00:00,NOx,59.39887149322165,10416.296703007483,322.89457220493284,0.37713941964832687,2,33.222794039807056,72.16385831661722,137.36636083341486,58.07692307692308,0.05
0,2025-01-01T08:00:00,NOx,59.39887149322165,10416.296703007483,322.89457220493284,0.37713941964832687,2,33.222794039807056,72.16385831661722,137.36636083341486,66.92307692307693,0.05
0,2025-01-01T08:00:00,NOx,59.39887149322165,10416.296703007483,322.89457220493284,0.37713941964832687,2,33.222794039807056,72.16385831661722,137.36636083341486,75.76923076923077,0.05
0,2025-01-01T08:00:00,NOx,59.39887149322165,10416.296703007483,322.89457220493284,0.37713941964832687,2,33.222794039807056,72.16385831661722,137.36636083341486,84.61538461538461,0.05
0,2025-01-01T08:00:00,NOx,59.39887149322165,10416.296703007483,322.89457220493284,0.37713941964832687,2,33.222794039807056,72.16385831661722,137.36636083341486,93.46153846153847,0.05
0,2025-01-01T08:00:00,NOx,59.39887149322165,10416.296703007483,322.89457220493284,0.37713941964832687,2,33.222794039807056,72.16385831661722,137.36636083341486,102.30769230769232,0.05
0,2025-01-01T08:00:00,NOx,59.39887149322165,10416.296703007483,322.89457220493284,0.37713941964832687,2,33.222794039807056,72.16385831661722,137.36636083341486,111.15384615384616,0.05
0,2025-01-01T08:00:00,NOx,59.39887149322165,10416.296703007483,322.89457220493284,0.37713941964832687,2,33.222794039807056,72.16385831661722,137.36636083341486,120.0,0.05
1,2025-01-01T14:00:00,NOx,33.020980448012494,6027.275241742783,48.39758163063608,0.45829081429118956,4,31.660979064849094,69.68572935446903,775.3073966499996,5.0,137.819354419327
1,2025-01-01T14:00:00,NOx,33.020980448012494,6027.275241742783,48.39758163063608,0.45829081429118956,4,31.660979064849094,69.68572935446903,775.3073966499996,13.846153846153847,8.202543733307662
1,2025-01-01T14:00:00,NOx,33.020980448012494,6027.275241742783,48.39758163063608,0.45829081429118956,4,,69.68572935446903,775.3073966499996,22.692307692307693,0.4519838128027519
1,2025-01-01T14:00:00,NOx,33.020980448012494,6027.275241742783,48.39758163063608,0.45829081429118956,4,31.660979064849094,69.68572935446903,775.3073966499996,31.53846153846154,0.05
1,2025-01-01T14:00:00,NOx,33.020980448012494,6027.275241742783,48.39758163063608,0.45829081429118956,4,31.660979064849094,69.68572935446903,775.3073966499996,40.38461538461539,0.05
1,2025-01-01T14:00:00,NOx,33.020980448012494,6027.275241742783,48.39758163063608,0.45829081429118956,4,31.660979064849094,69.68572935446903,775.3073966499996,49.23076923076923,0.05
1,2025-01-01T14:00:00,NOx,33.020980448012494,6027.275241742783,48.39758163063608,0.45829081429118956,4,31.660979064849094,69.68572935446903,775.3073966499996,58.07692307692308,0.05
1,2025-01-01T14:00:00,NOx,33.020980448012494,6027.275241742783,48.39758163063608,0.45829081429118956,4,31.660979064849094,69.68572935446903,775.3073966499996,66.92307692307693,0.05
1,2025-01-01T14:00:00,NOx,33.020980448012494,6027.275241742783,48.39758163063608,0.45829081429118956,4,31.660979064849094,69.68572935446903,775.3073966499996,75.76923076923077,
1,2025-01-01T14:00:00,NOx,33.020980448012494,6027.275241742783,48.39758163063608,0.45829081429118956,4,31.660979064849094,69.68572935446903,775.3073966499996,84.61538461538461,0.05
1,2025-01-01T14:00:00,NOx,33.020980448012494,6027.275241742783,48.39758163063608,0.45829081429118956,4,31.660979064849094,69.68572935446903,775.3073966499996,93.46153846153847,0.05
1,2025-01-01T14:00:00,NOx,33.020980448012494,6027.275241742783,48.39758163063608,0.45829081429118956,4,31.660979064849094,69.68572935446903,775.3073966499996,102.30769230769232,0.05
1,2025-01-01T14:00:00,NOx,33.020980448012494,6027.275241742783,48.39758163063608,0.45829081429118956,4,31.660979064849094,69.68572935446903,775.3073966499996,111.15384615384616,0.05
1,2025-01-01T14:00:00,NOx,33.020980448012494,6027.275241742783,48.39758163063608,0.45829081429118956,4,31.660979064849094,69.68572935446903,775.3073966499996,120.0,0.05
2,2025-01-01T20:00:00,CO,33.5900858673117,882.4574212112617,360.5082385508981,1.1475486563992434,2,33.614580620439355,52.534946532300395,472.24330892419925,5.0,0.05
2,2025-01-01T20:00:00,CO,33.5900858673117,882.4574212112617,360.5082385508981,1.1475486563992434,2,33.614580620439355,52.534946532300395,472.24330892419925,13.846153846153847,0.05
2,2025-01-01T20:00:00,CO,33.5900858673117,882.4574212112617,360.5082385508981,1.1475486563992434,2,33.614580620439355,52.534946532300395,472.24330892419925,22.692307692307693,0.05
